precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORACHE DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN IOANA-FELICIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","NENOVICI AMALIA-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALBERTS ADINA-MAGDALENA-ALIANȚA PRO BUCUREȘTI 2020-voturi","MECHNO CRINA-VERONICA-PARTIDUL VERDE-voturi","MUSTĂREAŢĂ MĂDĂLINA-ANDREEA-PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","BAHMUŢEANU ADRIANA-CRISTINA-PARTIDUL ECOLOGIST ROMÂN-voturi","GEREA ANDREI-DOMINIC-PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","CIULU MIOARA-SABINA-PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","CULEA MARIAN-ORLANDO-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","ONORIU EMANUEL-MIȘCAREA PATRIOȚILOR ROMÂNI-voturi","LAZĂR-ŞERBĂNESCU JAQUELINE-MARILENA-PARTIDUL ROMÂNIEI EUROPENE-voturi","CICEU GABRIEL-CIPRIAN-PARTIDUL RE:START ROMÂNIA-voturi","TOADER FLORIN-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","MAMOC REMUS-BOGDAN-PARTIDUL ROMÂNIA MARE-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA USR PLUS-voturi","CURIC ELENA-PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","DÎRLĂU ANDREI-EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCURA DANIEL-voturi","SCHINAGEL-COSTEA TUDOR-HELMUT-voturi"
42,"MUNICIPIUL BUCUREŞTI","COMPLEXUL SOCIAL DE SERVICII ”ODĂI”",56,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",876,763,0,59,54,508,395,0,59,54,468,40,800,292,254,61,8,16,7,4,10,7,0,5,0,1,2,6,8,61,4,8,5,1
42,"MUNICIPIUL BUCUREŞTI","DIRECŢIA PUBLICĂ DE EVIDENŢĂ A PERSOANEI ŞI STARE CIVILĂ SECT.1",35,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1192,1125,46,21,0,497,476,0,21,0,490,7,1200,703,158,29,5,12,6,0,2,1,2,2,0,0,0,1,8,240,2,3,13,6
42,"MUNICIPIUL BUCUREŞTI","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",85,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1131,1091,29,10,1,459,447,1,10,1,453,6,1199,740,134,28,7,8,6,0,4,0,2,0,1,1,1,0,5,244,1,0,11,0
42,"MUNICIPIUL BUCUREŞTI","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",83,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",693,670,14,8,1,247,238,0,8,1,245,2,799,552,95,23,8,10,4,0,1,1,2,2,0,0,0,3,0,85,0,3,6,2
42,"MUNICIPIUL BUCUREŞTI","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",84,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",776,761,7,8,0,319,311,0,8,0,308,11,800,481,114,22,5,9,3,0,8,1,0,1,0,2,1,1,1,132,0,0,7,1
42,"MUNICIPIUL BUCUREŞTI","LICEUL DE ARTE PLASTICE ”NICOLAE TONITZA”",86,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1274,1227,36,11,0,502,491,0,11,0,496,6,1440,938,173,36,10,14,6,0,11,3,0,2,0,0,0,2,2,217,1,4,14,1
42,"MUNICIPIUL BUCUREŞTI","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",7,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1316,1293,8,13,2,565,550,0,13,2,552,13,1400,835,236,34,7,9,10,1,2,0,1,0,1,0,0,1,7,224,0,4,10,5
42,"MUNICIPIUL BUCUREŞTI","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",6,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1011,998,4,9,0,495,486,0,9,0,489,6,1200,705,255,23,6,10,2,0,9,0,0,0,1,0,0,0,6,165,0,2,9,1
42,"MUNICIPIUL BUCUREŞTI","LICEUL GRECO-CATOLIC ”TIMOTEI CIPARIU”",5,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1657,1639,12,6,0,760,753,1,6,0,733,27,1800,1040,303,61,9,12,13,0,16,3,1,1,0,1,1,0,0,291,0,1,14,6
42,"MUNICIPIUL BUCUREŞTI","LICEUL TEORETIC ”ALEXANDRU VLAHUŢĂ”",97,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1488,1431,43,13,1,648,634,0,13,1,637,11,1600,952,187,71,9,21,4,1,4,1,1,2,0,3,0,2,1,304,0,2,14,10
